size_rank,year,avg_annual_rent,renter_income,owner_income,total_income,rent_to_income,yoy_rent_growth,yoy_income_growth,growth_gap
22,2022,22359.781224,52828,87718,71857,0.423256250927538,0.170348772978743,0.117130833809131,0.053217939169612
22,2023,22987.639731,57247,92012,77378,0.401551867014865,0.0280798144091895,0.0836488225940789,-0.0555690081848894
22,2024,23125.707767,61352,97971,81044,0.376934863851219,0.00600618582923974,0.071706814330882,-0.0657006285016422
23,2015,12294.0883811,35684,70025,54836,0.344526633255801,,,
23,2016,12904.375529,39816,73771,59979,0.324100249372112,0.0496406995770591,0.115794193476068,-0.0661534938990086
23,2017,13616.183748,40461,75904,61156,0.33652613005116,0.0551602220037965,0.0161995177817963,0.0389607042220002
23,2018,14246.628638,42380,77787,62068,0.336163960311468,0.0463011444078525,0.0474283878302563,-0.00112724342240378
23,2019,14972.741279,44257,82209,66399,0.338313516031362,0.0509673312507944,0.0442897593204342,0.00667757193036021
23,2020,15504.924343,44194,81243,65725,0.350837768543241,0.0355434622213377,-0.00142350362654495,0.0369669658478827
23,2021,17202.878253,47829,87909,71041,0.359674637834786,0.109510622073211,0.0822509842965108,0.0272596377766998
23,2022,19418.070366,51826,95401,77154,0.374678160884498,0.128768690937733,0.0835685462794539,0.0452001446582789
23,2023,20185.982057,55462,100548,81262,0.363960586653925,0.0395462410283863,0.070157835835295,-0.0306115948069087
23,2024,20393.508801,59178,105301,85938,0.344613011609044,0.0102807355824451,0.0670008293967041,-0.0567200938142589
24,2015,12384.872797,38109,69400,55083,0.324985509905797,,,
24,2016,12834.519355,37844,71451,56105,0.339142779700877,0.0363061103145862,-0.00695373796216117,0.0432598482767474
24,2017,13286.76929,37007,73737,56774,0.35903394736131,0.0352369981680549,-0.0221171123559877,0.0573541105240426
24,2018,13624.384262,36959,75333,57379,0.368635089206959,0.0254098618430967,-0.00129705190909828,0.0267069137521949
24,2019,14021.258349,42467,79534,62355,0.330168327148139,0.0291296897803249,0.149030006223112,-0.119900316442787
24,2020,14326.635563,41016,78376,61437,0.349293825897211,0.0217795868529717,-0.0341677066899004,0.0559472935428721
24,2021,15497.996476,43987,85863,66775,0.352331290517653,0.0817610602188528,0.072435147259606,0.00932591295924674
24,2022,17038.195168,45584,88853,70538,0.37377578027378,0.099380503433791,0.0363061813717689,0.063074322062022
24,2023,17205.683003,50389,93313,73195,0.341457123638096,0.00983013948065135,0.105409792909793,-0.0955796534291416
24,2024,17043.229174,51029,101264,78112,0.333991047717964,-0.00944187039664003,0.012701184782393,-0.022143055179033
25,2015,14084.489808,41268,81945,63850,0.341293249200349,,,
25,2016,15135.726574,43472,89894,68676,0.348171847948105,0.0746379017153249,0.0534069981583794,0.0212309035569456
25,2017,15852.99703,47438,91168,71931,0.334183503309583,0.047389231861001,0.0912311372837689,-0.0438419054227679
25,2018,16285.111849,50801,95728,75599,0.320566757524458,0.0272576105440676,0.0708925334120326,-0.043634922867965
25,2019,16885.230343,51943,100690,78439,0.325072297383671,0.0368507443832416,0.0224798724434558,0.0143708719397858
25,2020,17268.189149,51290,99552,77511,0.336677503392474,0.0226801055254043,-0.012571472575708,0.0352515781011123
25,2021,18521.676301,55297,105628,83943,0.334949026185869,0.0725893804604631,0.0781243907194385,-0.00553501025897538
25,2022,20291.424284,60661,113862,89312,0.334505271657243,0.0955500978550441,0.0970034540752663,-0.0014533562202222
25,2023,20678.908987,62290,119483,94925,0.331977989837855,0.0190959834842906,0.0268541567069452,-0.00775817322265451
25,2024,21013.034458,68355,124237,98994,0.30741034976227,0.016157790104403,0.0973671536362177,-0.0812093635318147
26,2015,14978.454495,38746,84670,62813,0.386580666262324,,,
26,2016,16119.511256,41055,87438,64052,0.392632109511631,0.076179872988959,0.059593248335312,0.016586624653647
26,2017,17582.445536,44413,90379,67902,0.395885113277644,0.0907554985239063,0.0817927170868347,0.0089627814370716
26,2018,18713.267368,46426,97021,73142,0.403077313746608,0.064315389442535,0.0453245671312454,0.0189908223112897
26,2019,19682.30947,50235,101895,76706,0.391804707275804,0.0517836935123942,0.0820445440055142,-0.03026085049312
26,2020,20594.453345,49113,99630,75533,0.419327944637876,0.0463433356939287,-0.0223350253807107,0.0686783610746393
26,2021,22974.825163,54197,107921,84421,0.423913226986734,0.115583151352639,0.103516380591697,0.0120667707609424
26,2022,24822.863942,59314,115207,89237,0.418499240347978,0.0804375557110304,0.0944148200084876,-0.0139772642974572
26,2023,25211.176478,62186,119553,94992,0.405415631782073,0.0156433414334188,0.0484202717739488,-0.0327769303405301
26,2024,25950.037362,65382,124197,98775,0.396898800312012,0.0293068784253186,0.0513942044833242,-0.0220873260580056
27,2015,11734.8726273,30034,67948,54080,0.390719605357262,,,
27,2016,11958.8505964,32164,69825,56063,0.371808562255938,0.0190865274991514,0.0709196244256509,-0.0518330969264995
27,2017,12206.7064469,31951,72435,58521,0.382044582232168,0.0207257251440713,-0.00662231065787837,0.0273480358019497
27,2018,12611.235592,33201,74505,59710,0.379845052618897,0.0331399093489903,0.03912240618447,-0.0059824968354797
27,2019,13099.338886,36788,77814,62638,0.356076407687289,0.0387038439207043,0.108038914490527,-0.0693350705698231
27,2020,13563.91313,35635,76636,61969,0.380634576399607,0.0354654725740791,-0.0313417418723497,0.0668072144464288
27,2021,14291.124905,36398,82619,66609,0.392634894911808,0.0536137151594984,0.0214115336046022,0.0322021815548961
27,2022,15345.322949,41342,86584,70607,0.371179985220841,0.0737659247265531,0.13583163910105,-0.0620657143744964
27,2023,15987.865172,42151,89571,72532,0.379299783445233,0.0418721864072514,0.0195684775772822,0.0223037088299692
27,2024,16659.564227,45130,96065,77214,0.369146116264126,0.0420130547620807,0.070674479846267,-0.0286614250841863
28,2015,10591.6626943,31433,75320,56826,0.336959968641237,,,
28,2016,10943.5525697,33168,78401,60260,0.329943094841413,0.0332232894453268,0.0551967677281838,-0.021973478282857
