size_rank,year,avg_monthly_rent,avg_annual_rent
16,2018,1299.91369066667,15598.964288
16,2019,1357.72404216667,16292.688506
16,2020,1392.675894,16712.110728
16,2021,1432.38419283333,17188.610314
16,2022,1506.73439975,18080.812797
16,2023,1545.49917875,18545.990145
16,2024,1588.09665016667,19057.159802
17,2015,1641.30742325,19695.689079
17,2016,1732.61605633333,20791.392676
17,2017,1837.8607195,22054.328634
17,2018,1934.10774091667,23209.292891
17,2019,2007.9048445,24094.858134
17,2020,2058.4778775,24701.73453
17,2021,2275.45035358333,27305.404243
17,2022,2627.44913208333,31529.389585
17,2023,2759.54700025,33114.564003
17,2024,2808.42534775,33701.104173
18,2015,1065.81043758333,12789.725251
18,2016,1120.10945633333,13441.313476
18,2017,1178.15580941667,14137.869713
18,2018,1241.3528955,14896.234746
18,2019,1299.61685225,15595.402227
18,2020,1361.85274566667,16342.232948
18,2021,1595.74809825,19148.977179
18,2022,1873.92699241667,22487.123909
18,2023,1938.78810475,23265.457257
18,2024,1963.82971025,23565.956523
19,2015,1297.16763691667,15566.011643
19,2016,1361.29974683333,16335.596962
19,2017,1418.5726755,17022.872106
19,2018,1477.14212691667,17725.705523
19,2019,1533.11022716667,18397.322726
19,2020,1552.78830883333,18633.459706
19,2021,1664.23379033333,19970.805484
19,2022,1831.45134225,21977.416107
19,2023,1887.68441958333,22652.213035
19,2024,1917.04241583333,23004.50899
20,2015,1304.33893466667,15652.067216
20,2016,1321.88660541667,15862.639265
20,2017,1343.35748533333,16120.289824
20,2018,1367.50826208333,16410.099145
20,2019,1401.70572533333,16820.468704
20,2020,1430.44468241667,17165.336189
20,2021,1545.04316358333,18540.517963
20,2022,1673.67621325,20084.114559
20,2023,1728.27482308333,20739.297877
20,2024,1784.00742875,21408.089145
21,2015,870.468221066667,10445.6186528
21,2016,891.573426516667,10698.8811182
21,2017,914.900019808333,10978.8002377
21,2018,941.3214901,11295.8578812
21,2019,973.612159375,11683.3459125
21,2020,1015.560733375,12186.7288005
21,2021,1089.78240725,13077.388887
21,2022,1196.433499,14357.201988
21,2023,1264.26297575,15171.155709
21,2024,1327.15989991667,15925.918799
22,2015,1133.32281108333,13599.873733
22,2016,1188.99592591667,14267.951111
22,2017,1251.28569258333,15015.428311
22,2018,1329.76427816667,15957.171338
22,2019,1392.19902283333,16706.388274
22,2020,1424.78422125,17097.410655
22,2021,1592.10241,19105.22892
22,2022,1863.315102,22359.781224
22,2023,1915.63664425,22987.639731
22,2024,1927.14231391667,23125.707767
23,2015,1024.50736509167,12294.0883811
23,2016,1075.36462741667,12904.375529
23,2017,1134.681979,13616.183748
23,2018,1187.21905316667,14246.628638
23,2019,1247.72843991667,14972.741279
23,2020,1292.07702858333,15504.924343
23,2021,1433.57318775,17202.878253
23,2022,1618.1725305,19418.070366
23,2023,1682.16517141667,20185.982057
23,2024,1699.45906675,20393.508801
24,2015,1032.07273308333,12384.872797
24,2016,1069.54327958333,12834.519355
24,2017,1107.23077416667,13286.76929
24,2018,1135.36535516667,13624.384262
24,2019,1168.43819575,14021.258349
24,2020,1193.88629691667,14326.635563
24,2021,1291.49970633333,15497.996476
24,2022,1419.84959733333,17038.195168
24,2023,1433.80691691667,17205.683003
24,2024,1420.26909783333,17043.229174
25,2015,1173.707484,14084.489808
25,2016,1261.31054783333,15135.726574
25,2017,1321.08308583333,15852.99703
25,2018,1357.09265408333,16285.111849
25,2019,1407.10252858333,16885.230343
25,2020,1439.01576241667,17268.189149
25,2021,1543.47302508333,18521.676301
25,2022,1690.95202366667,20291.424284
25,2023,1723.24241558333,20678.908987
25,2024,1751.08620483333,21013.034458
26,2015,1248.20454125,14978.454495
26,2016,1343.29260466667,16119.511256
26,2017,1465.20379466667,17582.445536
26,2018,1559.43894733333,18713.267368
26,2019,1640.19245583333,19682.30947
26,2020,1716.20444541667,20594.453345
26,2021,1914.56876358333,22974.825163
26,2022,2068.57199516667,24822.863942
26,2023,2100.93137316667,25211.176478
26,2024,2162.5031135,25950.037362
27,2015,977.906052275,11734.8726273
27,2016,996.570883033333,11958.8505964
27,2017,1017.22553724167,12206.7064469
27,2018,1050.93629933333,12611.235592
27,2019,1091.61157383333,13099.338886
27,2020,1130.32609416667,13563.91313
27,2021,1190.92707541667,14291.124905
27,2022,1278.77691241667,15345.322949
27,2023,1332.32209766667,15987.865172
27,2024,1388.29701891667,16659.564227
28,2015,882.638557858333,10591.6626943
28,2016,911.962714141667,10943.5525697
28,2017,954.385955633333,11452.6314676
28,2018,998.254618225,11979.0554187
28,2019,1048.70017833333,12584.40214
28,2020,1103.96266308333,13247.551957
28,2021,1187.21570841667,14246.588501
28,2022,1309.77604741667,15717.312569
28,2023,1394.68186008333,16736.182321
28,2024,1463.41134333333,17560.93612
29,2015,1191.84030941667,14302.083713
29,2016,1232.3641275,14788.36953
29,2017,1265.286832,15183.441984
29,2018,1301.43228641667,15617.187437
29,2019,1361.19173458333,16334.300815
29,2020,1380.71243541667,16568.549225
29,2021,1540.80582525,18489.669903
29,2022,1741.046776,20892.561312
29,2023,1723.73827783333,20684.859334
29,2024,1658.83924666667,19906.07096
30,2015,995.4719218,11945.6630616
30,2016,1036.36426225,12436.371147
30,2017,1095.57341716667,13146.881006
30,2018,1172.0003865,14064.004638
30,2019,1246.84097383333,14962.091686
30,2020,1299.07235375,15588.868245
30,2021,1519.17691925,18230.123031
30,2022,1690.45321308333,20285.438557
30,2023,1679.37006991667,20152.440839
