"GEO_ID","NAME","B25119_001E","B25119_001M","B25119_002E","B25119_002M","B25119_003E","B25119_003M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Total","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Total","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Owner occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Owner occupied (dollars)","Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Renter occupied (dollars)","Margin of Error!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars)!!Renter occupied (dollars)",
"310M300US24220","Grand Forks, ND-MN Metro Area","48671","4343","71902","4792","28233","2314",
"310M300US24260","Grand Island, NE Metro Area","55435","3407","68136","4420","31341","4575",
"310M300US24300","Grand Junction, CO Metro Area","48846","4429","63840","5211","27954","7234",
"310M300US24340","Grand Rapids-Wyoming, MI Metro Area","60212","1002","71909","1208","32691","1674",
"310M300US24420","Grants Pass, OR Metro Area","36472","4670","45009","6950","26952","5515",
"310M300US24500","Great Falls, MT Metro Area","45138","3057","61518","3387","30289","3494",
"310M300US24540","Greeley, CO Metro Area","63400","2926","78836","3617","34904","4982",
"310M300US24580","Green Bay, WI Metro Area","58011","2215","72960","3439","36781","3768",
"310M300US24660","Greensboro-High Point, NC Metro Area","46135","1423","60030","1981","29447","1605",
"310M300US24780","Greenville, NC Metro Area","46573","3483","72592","6742","25584","5182",
"310M300US24860","Greenville-Anderson-Mauldin, SC Metro Area","50644","935","64264","2642","32836","2154",
"310M300US25020","Guayama, PR Metro Area","16595","1955","18906","2202","9754","2914",
"310M300US25060","Gulfport-Biloxi-Pascagoula, MS Metro Area","46434","2347","56081","2133","31918","4750",
"310M300US25180","Hagerstown-Martinsburg, MD-WV Metro Area","55862","2970","70322","3664","35584","4693",
"310M300US25220","Hammond, LA Metro Area","48162","5918","63413","3076","19788","2633",
"310M300US25260","Hanford-Corcoran, CA Metro Area","53234","4518","69703","5943","39633","3667",
"310M300US25420","Harrisburg-Carlisle, PA Metro Area","61467","1332","73912","1983","39771","3729",
"310M300US25500","Harrisonburg, VA Metro Area","51369","4659","70410","4535","30818","1962",
"310M300US25540","Hartford-West Hartford-East Hartford, CT Metro Area","72559","1661","95904","2046","38247","1728",
"310M300US25620","Hattiesburg, MS Metro Area","46765","4749","57249","7475","33682","4227",
"310M300US25860","Hickory-Lenoir-Morganton, NC Metro Area","42572","1950","51496","1582","29380","2276",
"310M300US25940","Hilton Head Island-Bluffton-Beaufort, SC Metro Area","63756","3158","72953","5493","41907","5099",
"310M300US25980","Hinesville, GA Metro Area","46241","5341","59567","8058","38232","2948",
"310M300US26140","Homosassa Springs, FL Metro Area","39206","4485","42311","3217","30062","6300",
"310M300US26300","Hot Springs, AR Metro Area","42826","5424","56245","4216","21627","5646",
"310M300US26380","Houma-Thibodaux, LA Metro Area","49929","3965","57509","5077","26188","2618",
"310M300US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","61708","615","83696","1438","40406","636",
"310M300US26580","Huntington-Ashland, WV-KY-OH Metro Area","42420","1793","51041","1788","26522","1994",
"310M300US26620","Huntsville, AL Metro Area","58238","3098","78938","3498","29949","3409",
"310M300US26820","Idaho Falls, ID Metro Area","60133","2149","68097","3216","39877","6491",
"310M300US26900","Indianapolis-Carmel-Anderson, IN Metro Area","56750","921","75161","1163","34138","1409",
"310M300US26980","Iowa City, IA Metro Area","57777","2679","87777","5758","23929","3642",
"310M300US27060","Ithaca, NY Metro Area","56349","3335","85131","7894","27420","4594",
"310M300US27100","Jackson, MI Metro Area","50009","3641","58811","3853","30876","2645",
"310M300US27140","Jackson, MS Metro Area","50632","1677","64204","2771","33843","2689",
"310M300US27180","Jackson, TN Metro Area","42373","2393","52816","3498","26097","3489",
"310M300US27260","Jacksonville, FL Metro Area","56840","1103","70446","2317","40214","1770",
"310M300US27340","Jacksonville, NC Metro Area","47150","3555","59585","4703","39955","3201",
"310M300US27500","Janesville-Beloit, WI Metro Area","50729","2265","64546","4375","29474","3289",
"310M300US27620","Jefferson City, MO Metro Area","55031","3135","65992","3268","31934","5371",
"310M300US27740","Johnson City, TN Metro Area","40943","2784","50052","2968","27161","2922",
"310M300US27780","Johnstown, PA Metro Area","44100","3096","54648","2318","22237","2696",
"310M300US27860","Jonesboro, AR Metro Area","41717","2585","55310","6045","28234","6487",
"310M300US27900","Joplin, MO Metro Area","45876","2370","55057","3191","33149","5260",
"310M300US27980","Kahului-Wailuku-Lahaina, HI Metro Area","72268","4713","95219","8868","52137","3906",
"310M300US28020","Kalamazoo-Portage, MI Metro Area","52045","1654","68280","3689","30781","2715",
"310M300US28100","Kankakee, IL Metro Area","54911","4196","63842","5286","38977","8413",
"310M300US28140","Kansas City, MO-KS Metro Area","61385","779","79398","1484","37430","1292",
"310M300US28420","Kennewick-Richland, WA Metro Area","61021","2402","72472","4195","39601","2724",
"310M300US28660","Killeen-Temple, TX Metro Area","52202","1885","69983","3636","39645","2899",
"310M300US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","40811","1959","47775","3056","25889","3948",
"310M300US28740","Kingston, NY Metro Area","62790","3777","79310","6324","31415","4809",
"310M300US28940","Knoxville, TN Metro Area","49862","1319","62566","1745","30486","1490",
"310M300US29020","Kokomo, IN Metro Area","45702","5865","60684","5252","27539","4395",
"310M300US29100","La Crosse-Onalaska, WI-MN Metro Area","55717","4260","71630","4527","31897","4107",
"310M300US29180","Lafayette, LA Metro Area","45409","2920","57084","4338","29174","3259",
"310M300US29200","Lafayette-West Lafayette, IN Metro Area","51410","1534","70301","3595","29895","3960",
"310M300US29340","Lake Charles, LA Metro Area","46005","2664","52630","3216","30406","3705",
"310M300US29420","Lake Havasu City-Kingman, AZ Metro Area","42423","2342","47375","2812","33554","5044",
"310M300US29460","Lakeland-Winter Haven, FL Metro Area","46355","1347","53441","2517","35815","1267",
"310M300US29540","Lancaster, PA Metro Area","61335","1450","72774","2101","40005","2754",
"310M300US29620","Lansing-East Lansing, MI Metro Area","53296","1334","68381","2369","30867","2061",
"310M300US29700","Laredo, TX Metro Area","35659","2932","50187","4499","21474","2230",
"310M300US29740","Las Cruces, NM Metro Area","37496","3647","49687","4642","26106","6278",
"310M300US29820","Las Vegas-Henderson-Paradise, NV Metro Area","54384","1187","71177","1335","39487","1369",
"310M300US29940","Lawrence, KS Metro Area","56345","4195","86469","8035","30686","3653",
"310M300US30020","Lawton, OK Metro Area","50980","5024","70364","4380","38255","4619",
"310M300US30140","Lebanon, PA Metro Area","57248","3200","67347","4437","36219","3989",
"310M300US30300","Lewiston, ID-WA Metro Area","47869","3825","57948","4549","30412","7933",
"310M300US30340","Lewiston-Auburn, ME Metro Area","49081","3530","64173","4626","32095","2739",
"310M300US30460","Lexington-Fayette, KY Metro Area","53769","2225","75379","3166","33332","2043",
"310M300US30620","Lima, OH Metro Area","47592","4051","56955","3292","24400","3003",
"310M300US30700","Lincoln, NE Metro Area","59344","2572","79608","3465","31147","2043",
"310M300US30780","Little Rock-North Little Rock-Conway, AR Metro Area","51501","1293","69027","2656","31588","1536",
"310M300US30860","Logan, UT-ID Metro Area","57414","4159","74934","6002","33386","5504",
"310M300US30980","Longview, TX Metro Area","45773","2106","55751","4772","31426","2366",
"310M300US31020","Longview, WA Metro Area","50637","4377","64780","4809","27861","2849",
"310M300US31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","65950","495","96118","925","46607","476",
"310M300US31140","Louisville/Jefferson County, KY-IN Metro Area","54546","1410","71144","1486","32444","1169",
"310M300US31180","Lubbock, TX Metro Area","48671","2330","67291","5062","32928","3130",
"310M300US31340","Lynchburg, VA Metro Area","48530","2849","58734","4148","33425","5719",
"310M300US31420","Macon-Bibb County, GA Metro Area","39973","2275","57075","5887","24029","2081",
"310M300US31460","Madera, CA Metro Area","51657","5660","74691","7268","30292","6340",
